FIRST,FOLLOW,Nonterminal,IDENTIFIER,ASSIGN,DOTCOMMA,OPAR,CPAR,OKEY,CKEY,COMMA,MAIN,FOR,OPINC,OPDC,IF,ELSE,PRINT,RETURN,PLUS,MINUS,AND,OR,EQUAL,NOTEQUAL,GREATERTH,LESSTH,GREATEQTH,LESSEQTH,MULT,DIV,MOD,NOT,VINTEGER,VFLOAT,VSTRING,VCHAR,VTRUE,VFALSE,DTINTEGER,DTFLOAT,DTSTRING,DTCHAR,DTBOOL,DTVOID,$
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID",$,PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBALASSIGNMENT FUNCTION' MAIN',GLOBALASSIGNMENT FUNCTION' MAIN',GLOBALASSIGNMENT FUNCTION' MAIN',GLOBALASSIGNMENT FUNCTION' MAIN',GLOBALASSIGNMENT FUNCTION' MAIN',GLOBALASSIGNMENT FUNCTION' MAIN',
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID","DTINTEGER, $, DTSTRING, DTCHAR, DTBOOL, MAIN, DTFLOAT, DTVOID",GLOBALASSIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID, ε","MAIN, $",FUNCTION',,,,,,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY FUNCTION',DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY FUNCTION',DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY FUNCTION',DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY FUNCTION',DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY FUNCTION',DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY FUNCTION',ε
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID",CPAR,PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,
"COMMA, ε",CPAR,MORE_PARAMETERS,,,,,ε,,,COMMA PARAMETER MORE_PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID","COMMA, CPAR",PARAMETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,
"MAIN, ε",$,MAIN',,,,,,,,,MAIN OKEY STATEMENTS LOOPS IFELSES CKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
"FOR, ε","CKEY, $, OKEY, IF, MAIN",LOOPS,,,,,,ε,ε,,ε,FOR OPAR ASSIGNMENT CONDITION UPDATE CPAR LOOPS OKEY STATEMENTS LOOPS IFELSES CKEY,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
"VINTEGER, VFLOAT, VSTRING, VCHAR, VTRUE, VFALSE, IDENTIFIER, OPAR, NOT",IDENTIFIER,CONDITION,EXPRESSION DOTCOMMA,,,EXPRESSION DOTCOMMA,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,,,,,,,
IDENTIFIER,CPAR,UPDATE,INCREMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFIER,CPAR,INCREMENT,IDENTIFIER OPUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OPINC, OPDC",CPAR,OPUPDATE,,,,,,,,,,,OPINC,OPDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IF, ε",CKEY,IFELSES,,,,,,,ε,,,,,,IF OPAR EXPRESSION CPAR OKEY STATEMENTS LOOPS IFELSES CKEY ELSE',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELSE, ε",CKEY,ELSE',,,,,,,ε,,,,,,,ELSE OKEY STATEMENTS LOOPS IFELSES CKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRINT, DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID, RETURN, ε","CKEY, $, OKEY, IF, MAIN, FOR",STATEMENTS,,,,,,ε,ε,,ε,ε,,,ε,,PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS,RETURN EXPRESSION DOTCOMMA STATEMENTS,,,,,,,,,,,,,,,,,,,,,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ε
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID","CKEY, VINTEGER, VTRUE, VFALSE, RETURN, VSTRING, DTVOID, DTINTEGER, PRINT, $, OPAR, DTSTRING, DTCHAR, IDENTIFIER, VFLOAT, OKEY, VCHAR, DTBOOL, IF, NOT, MAIN, DTFLOAT, FOR",ASSIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,
